End_Station Id,End_Station_Name,End_Latitude,End_Longitude
5569.06,W Broadway & Spring St,40.72494672,-74.00165856
5578.02,Watts St & Greenwich St,40.72405549,-74.00965965
5593.02,E 2 St & 2 Ave,40.72502876,-73.99069656
5593.04,E 4 St & 2 Ave,40.7262807,-73.98978041
5602.06,Greene St & Prince St,40.72511734,-73.99930492
,,40.72511734,-73.99930492
5610.09,6 Ave & Broome St,40.72431,-74.00473
5626.07,E 7 St & Avenue A,40.72621788,-73.98379855
5636.11,Great Jones St,40.72743423,-73.99379025
5636.13,E 1 St & Bowery,40.72486122,-73.99213135
5644.05,W Broadway & W Houston St,40.726378,-74.000472
5653.12,Spring St & Hudson St,40.72583997,-74.0076533
5669.1,St Marks Pl & 2 Ave,40.7284186,-73.98713956
5679.05,Mercer St & Bleecker St,40.72706363,-73.99662137
5679.08,Bleecker St & Crosby St,40.72615605,-73.9951019
,,40.72615605,-73.9951019
5687.11,King St & Varick St,40.72789701,-74.00536269
,,40.72789701,-74.00536269
5696.03,Pier 40 - Hudson River Park,40.72771408,-74.01129574
5703.13,Ave A & E 11 St,40.72854745,-73.98175925
5712.03,Cooper Square & Astor Pl,40.72951496,-73.9907527
5712.12,E 5 St & Cooper Sq,40.72769,-73.990993
5721.01,Sullivan St & Washington Sq,40.73047747,-73.99906065
5721.14,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
5730.08,Greenwich St & W Houston St,40.728846,-74.008591
5746.14,E 11 St & 1 Ave,40.72953837,-73.98426726
5755.14,University Pl & E 8 St,40.73143724,-73.99490342
5763.03,Carmine St & 6 Ave,40.73038599,-74.00214988
5772.05,Morton St & Washington St,40.73115,-74.00887
5788.13,Lafayette St & E 8 St,40.73020661,-73.99102628
,,40.73020661,-73.99102628
5797.01,MacDougal St & Washington Sq,40.73226398,-73.99852205
5805.05,Barrow St & Hudson St,40.73172428,-74.00674436
5820.08,E 13 St & 2 Ave,40.73153938,-73.98530245
5847.01,Christopher St & Greenwich St,40.73291553,-74.00711384
5847.06,W 10 St & Washington St,40.73342399,-74.00851496
5872.1,E 9 St & 5 Ave,40.73275887,-73.99581671
5880.02,W 4 St & 7 Ave S,40.73401143,-74.00293877
5905.14,University Pl & E 14 St,40.734814,-73.992085
5914.08,Greenwich Ave & Charles St,40.735238,-74.000271
5922.07,Perry St & Bleecker St,40.73535398,-74.00483091
5922.08,Bank St & Hudson St,40.73652889,-74.00618026
5944.01,Franklin St & Dupont St,40.73564,-73.95866
5964.01,Bank St & Washington St,40.7361967,-74.00859207
5971.09,E 22 St & 2 Ave,40.73716919,-73.98122549
5980.07,E 17 St & Broadway,40.73704984,-73.99009296
6055.08,E 20 St & Park Ave,40.73827428,-73.98751968
6072.11,8 Ave & W 16 St,40.740983,-74.001702
6072.14,Gansevoort St & Hudson St,40.7394482,-74.00507033
6079.03,1 Ave & E 30 St,40.741444,-73.975361
6089.07,Lexington Ave & E 24 St,40.74025878,-73.98409214
6098.1,Broadway & E 21 St,40.73988841,-73.98958594
6098.12,Broadway & E 19 St,40.73866091,-73.98987293
,,40.73866091,-73.98987293
6115.06,Hudson St & W 13 St,40.74005709,-74.00527418
6115.09,W 15 St & 10 Ave,40.74275383,-74.00747359
,,40.74275383,-74.00747359
,,40.742754,-74.007474
6131.12,Madison Ave & E 26 St,40.74268473,-73.98671329
,,40.74268474,-73.98671329
6140.05,W 21 St & 6 Ave,40.74173969,-73.99415556
6148.02,W 17 St & 8 Ave,40.74177603,-74.00149746
6157.04,10 Ave & W 14 St,40.7419816,-74.0083158
,,40.7419816,-74.0083158
,,40.741982,-74.008316
6173.08,Broadway & W 25 St,40.74286877,-73.98918629
6182.02,W 20 St & 7 Ave,40.74238787,-73.99726235
6190.08,9 Ave & W 18 St,40.74317449,-74.00366443
6206.08,E 30 St & Park Ave S,40.74444921,-73.98303529
6212.08,Vernon Blvd & 47 Rd,40.7449067,-73.9534573
6224.03,W 22 St & 8 Ave,40.74475148,-73.99915362
6224.06,8 Ave & W 24 St,40.74591073,-73.9980711
6233.05,W 16 St & The High Line,40.74334935,-74.00681753
6239.08,E 31 St & 3 Ave,40.743943,-73.979661
6247.06,W 27 St & 7 Ave,40.746647,-73.993915
6257.03,W 24 St & 7 Ave,40.74487634,-73.99529885
6289.06,Broadway & W 29 St,40.7462009,-73.98855723
6306.01,W 20 St & 10 Ave,40.745686,-74.005141
6306.06,W 22 St & 10 Ave,40.74691959,-74.00451887
6364.1,6 Ave & W 34 St,40.74964,-73.98805
6364.07,6 Ave & W 33 St,40.74901271,-73.98848395
,,40.749013,-73.988484
6389.09,E 39 St & Lexington Ave,40.74949855,-73.97729203
6425.04,11 Ave & W 27 St,40.751396,-74.005226
6441.01,Broadway & W 36 St,40.75097711,-73.98765428
6450.05,8 Ave & W 31 St,40.75058535,-73.99468482
6450.12,8 Ave & W 33 St,40.751551,-73.993934
6459.04,10 Ave & W 28 St,40.75066386,-74.00176802
6459.07,W 30 St & 10 Ave,40.752694,-74.002353
6474.02,W 40 St & 5 Ave,40.752269,-73.982079
6483.06,W 36 St & 7 Ave,40.752149,-73.989539
6492.04,W 33 St & 10 Ave,40.75377337,-73.999376
6498.1,E 47 St & 2 Ave,40.75323098,-73.97032517
6517.08,W 42 St & 6 Ave,40.75492,-73.98455
6526.01,W 35 St & 8 Ave,40.75276209,-73.99280459
6526.05,8 Ave & W 38 St,40.75461,-73.99177
6535.04,W 34 St & Hudson Blvd E,40.755167,-74.000599
