Station Id,Latitude,Longitude
6753.08,40.7612274,-73.9609
6756.05,40.762009,-73.9970
6762.02,40.76095756,-73.9672
6765.01,40.760875,-74.0028
6779.04,40.76228826,-73.9834
6779.05,40.76344058,-73.9827
6801.01,40.76350532,-73.9711
6809.07,40.76340613,-73.9772
6822.09,40.76500525,-73.9582
6839.1,40.7643971,-73.9737
6839.10,40.7643971,-73.9737
6854.05,40.76360468,-73.9892
6876.04,40.76590936,-73.9763
6884.03,40.76595918,-73.9831
6890.06,40.7647342,-73.9919
6904.06,40.766368,-73.9715
6925.09,40.768762029,-73.9584
6926.01,40.76727216,-73.9939
6948.1,40.76695317,-73.9817
6948.10,40.76695317,-73.9817
6955.01,40.768254,-73.9886
6955.05,40.768333,-73.9926
7014.12,40.7700301,-73.9820
7023.04,40.770513,-73.9880
7059.01,40.77149671,-73.9905
7079.06,40.7734066,-73.9778
7116.04,40.77492513,-73.9827
7183.03,40.777507028,-73.9889
7188.13,40.7781314,-73.9607
7207.08,40.77748046,-73.9829
7281.09,40.780183972,-73.9773
7288.04,40.780577990,-73.9856
7311.02,40.7829391,-73.9787
7360.1,40.78524672,-73.9767
7409.08,40.7867947,-73.9771
7450.05,40.7949879,-73.9333
7520.07,40.7919557,-73.9681
7524.16,40.793134810,-73.9770
7538.14,40.795,-73.9645
7596.1,40.79747,-73.9350
7606.01,40.7981856,-73.9606
7610.13,40.799041393,-73.9665
7617.07,40.799484,-73.9556
7650.05,40.8021174,-73.9682
7692.11,40.8067581,-73.9607
7701.21,40.80722,-73.9418
7713.11,40.8082,-73.9641
7814.01,40.813539,-73.9452
7915.11,40.820681,-73.9451
7922.01,40.820578,-73.8883
7937.15,40.821294,-73.9479
7942.21,40.823168,-73.9559
8013.07,40.827212,-73.9427
8108.02,40.832164,-73.9497
8123.02,40.83299,-73.9459
8157.06,40.835775,-73.9434
8213.01,40.840484,-73.9179
8226.07,40.84210236,-73.9422
8299.03,40.846052,-73.9376
8320.01,40.84522,-73.9405
8358.1,40.848282,-73.9413
8358.03,40.849972,-73.9384
8358.10,40.848282,-73.9413
8381.04,40.85168,-73.9419
HB101,40.73593758,-74.0303
HB102,40.736067656,-74.0291
HB103,40.736982,-74.0278
HB105,40.73736,-74.0310
HB201,40.750604,-74.0240
HB202,40.75296063,-74.0244
HB203,40.75453,-74.0266
HB301,40.742257978,-74.0351
HB302,40.74439783,-74.0345
HB303,40.74542,-74.0333
HB304,40.746412648,-74.0380
HB305,40.747907,-74.0384
HB401,40.737551,-74.0417
HB402,40.73879,-74.0393
HB404,40.743139940,-74.0400
HB407,40.73981372,-74.0369
HB408,40.740802,-74.0425
HB409,40.73743,-74.0357
HB501,40.748161,-74.0325
HB502,40.749984909,-74.0272
HB503,40.749943,-74.0359
HB505,40.751867,-74.0304
HB506,40.75409,-74.0316
HB507,40.75091553,-74.0335
HB601,40.742659,-74.0322
HB602,40.743132827,-74.0270
HB603,40.74598388,-74.0282
HB607,40.740972609,-74.0286
HB608,40.739152728,-74.0331
JC002,40.714145,-74.0336
JC003,40.7177325,-74.0438
JC005,40.719586,-74.0431
JC006,40.7211236,-74.0381
JC008,40.7287448,-74.0321
JC009,40.727595966,-74.0442
JC011,40.71653978,-74.0496
JC013,40.714584,-74.0428
JC014,40.718355,-74.0389
JC018,40.734961,-74.0595
JC019,40.7311689,-74.0576
JC020,40.7236589,-74.0642
JC022,40.7376037,-74.0525
JC023,40.7241765,-74.0507
JC024,40.742677,-74.0518
JC027,40.725289,-74.0456
JC032,40.721525,-74.0463
JC034,40.734785818,-74.0504
JC035,40.71848892,-74.0477
JC038,40.712774,-74.0365
JC051,40.718211,-74.0836
JC052,40.711242,-74.0557
JC053,40.724605,-74.0784
JC055,40.725339925,-74.0676
JC056,40.730897,-74.0639
JC057,40.7443187,-74.0440
JC059,40.748715945,-74.0404
JC063,40.71113,-74.0789
JC065,40.737711,-74.0669
JC066,40.7272235,-74.0338
JC072,40.71241882,-74.0385
JC074,40.723331586,-74.0460
JC075,40.725685,-74.0488
JC076,40.72163,-74.0500
JC077,40.719282,-74.0713
JC078,40.713463827,-74.0629
JC080,40.745909966,-74.0573
JC081,40.726011730,-74.0504
JC082,40.72165072,-74.0429
JC084,40.714358,-74.0666
JC093,40.725726,-74.0720
JC094,40.727551,-74.0711
JC095,40.722103787,-74.0715
JC096,40.71649,-74.0411
JC097,40.716615,-74.0424
JC098,40.724294,-74.0355
JC099,40.71942,-74.0510
JC102,40.715177677,-74.0377
JC103,40.73367,-74.0625
JC104,40.7192517,-74.0342
JC105,40.735208,-74.0470
JC106,40.71687,-74.0328
JC107,40.709198,-74.0808
JC108,40.706575,-74.0867
JC109,40.731008887,-74.0644
JC110,40.715391,-74.0497
JC115,40.71941,-74.0431
JC116,40.716365962,-74.0343
JCSYS,40.70965083,-74.0686
MTL-ECO5-LAB,40.747165634,-74.0890
Shop Morgan ,40.709873339,-73.9316
SYS035,40.72865963,-74.0120
